id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
309;1609;89;2.605.966.438.781.850;2.0;05/09/2025;30/09/2011;11.538.015.717.092.300
310;1529;119;4.041.203.400.915.630;2.0;05/09/2025;05/10/2011;1.097.512.291.052.110
311;205;19;21.170.731.707.317.000;13.0;25/08/2025;05/10/2011;14.746.748.127.709.800
312;9994;375;59.643.786.271.763.000;3.0;05/09/2025;18/03/2009;6.064.522.028.262.670
313;8567;334;5.943.153.962.880.820;3.0;05/09/2025;18/03/2009;5.198.595.178.719.860
314;3201;57;1.226.491.721.337.080;7.0;01/09/2025;29/09/2011;22.967.662.669.549.800
315;3361;77;29.003.272.835.465.600;7.0;01/09/2025;05/10/2011;24.148.917.322.834.600
316;2792;41;12.836.676.217.765.000;13.0;25/08/2025;05/09/2011;19.966.300.940.438.800
317;3045;65;2.418.390.804.597.700;33.0;05/08/2025;27/04/2012;2.292.070.530.006.180
318;2888;87;2.543.628.808.864.260;33.0;05/08/2025;12/11/2010;19.589.667.348.076.500
319;3430;130;3.866.472.303.206.990;28.0;11/08/2025;11/11/2010;2.324.020.790.792.640
320;6861;221;4.598.163.533.012.680;10.0;29/08/2025;09/06/2010;45.040.737.410.071.900
321;5680;179;4.067.077.464.788.730;10.0;29/08/2025;09/06/2010;3.728.776.978.417.260
322;2821;75;29.826.302.729.528.500;7.0;01/09/2025;06/09/2011;20.153.944.020.356.200
323;3266;107;4.176.668.707.899.570;33.0;05/08/2025;06/09/2011;23.452.488.687.782.800
324;7661;188;444.524.213.549.145;10.0;29/08/2025;31/03/2010;49.667.229.129.662.500
325;9769;253;4.928.958.951.786.260;10.0;29/08/2025;27/04/2012;7.318.729.474.548.430
326;14826;349;5.243.828.409.550.780;9.0;29/08/2025;05/08/2010;9.831.922.238.372.090
327;12410;292;4.851.813.053.988.710;10.0;29/08/2025;10/06/2010;8.146.852.517.985.610
328;9886;248;5.314.586.283.633.420;10.0;29/08/2025;22/08/2011;7.044.884.810.620.850
329;8054;205;4.932.331.760.615.840;10.0;29/08/2025;22/08/2011;5.739.379.148.770.010
330;3625;110;427.503.448.275.862;21.0;18/08/2025;18/05/2012;27.337.293.388.429.700
331;6554;182;4.530.668.294.171.490;10.0;29/08/2025;24/04/2010;4.266.470.483.324.410
332;5468;142;38.893.562.545.720.500;10.0;29/08/2025;24/04/2010;3.559.514.892.099.160
333;5153;133;36.879.487.677.081.300;10.0;29/08/2025;24/04/2010;3.354.458.712.323.880
334;5067;135;37.256.759.423.722.100;10.0;29/08/2025;24/04/2010;3.298.475.120.385.230
335;4359;130;3.909.841.706.813.480;10.0;29/08/2025;24/04/2010;2.837.586.944.890.310
336;1356;81;5.410.029.498.525.070;60.0;09/07/2025;24/04/2010;8.908.207.343.412.520
337;1691;139;4.018.923.713.778.820;2.0;05/09/2025;19/10/2009;10.641.637.931.034.400
338;2235;135;33.615.212.527.964.200;2.0;05/09/2025;19/10/2009;14.065.086.206.896.500
339;0;0;0.0;;;;0.0
340;698;82;41.275.071.633.237.800;2.0;05/09/2025;19/06/2012;5.278.019.473.793.240
341;0;0;0.0;;;;0.0
342;5489;117;2.533.612.679.905.260;10.0;29/08/2025;29/09/2011;3.940.765.145.554.680
343;3634;40;11.458.447.991.194.200;13.0;26/08/2025;29/09/2011;2.610.529.423.341.860
344;4082;74;25.560.999.510.044.000;7.0;01/09/2025;05/10/2011;29.329.330.708.661.400
345;2895;78;3.166.839.378.238.340;7.0;01/09/2025;12/11/2010;19.542.722.396.892.900
346;2143;102;3.428.371.441.903.870;33.0;05/08/2025;18/05/2012;16.201.222.038.111.000
347;2686;103;3.103.127.326.880.110;33.0;05/08/2025;12/11/2010;18.219.475.933.841.200
348;1814;41;17.596.471.885.336.200;62.0;08/07/2025;11/11/2010;12.366.641.763.167.700
349;2538;94;4.275.413.711.583.920;28.0;11/08/2025;12/11/2010;17.199.591.533.605.600
350;6451;202;4.509.843.435.126.330;10.0;29/08/2025;09/06/2010;42.349.190.647.482.000
351;7273;215;4.651.175.580.915.710;7.0;01/09/2025;09/06/2010;4.771.966.564.803.160
352;7108;210;4.470.877.884.074.280;10.0;29/08/2025;09/06/2010;4.666.223.021.582.730
353;7575;191;4.549.174.917.491.740;10.0;29/08/2025;10/08/2010;5.027.959.629.023.450
354;9999;224;4.977.997.799.779.970;9.0;29/08/2025;10/08/2010;6.636.906.710.310.960
355;0;0;0.0;;;;0.0
356;8428;209;4.580.208.827.717.130;10.0;29/08/2025;02/11/2009;5.323.100.882.505.620
357;8352;207;4.832.734.674.329.500;10.0;29/08/2025;08/06/2012;6.311.552.795.031.050
358;8962;222;5.007.476.009.819.230;10.0;29/08/2025;22/08/2011;6.386.431.081.608.740
359;7912;207;4.793.099.089.989.880;10.0;29/08/2025;24/04/2010;5.150.490.458.355.620
360;6642;168;4.234.116.230.051.180;10.0;29/08/2025;24/04/2010;43.237.560.192.616.300
361;1718;31;15.279.394.644.935.900;28.0;11/08/2025;27/05/2012;12.996.269.430.051.800
362;2002;37;16.758.241.758.241.700;28.0;11/08/2025;27/05/2012;15.147.802.653.399.600
363;1193;48;2.411.567.476.948.860;28.0;11/08/2025;27/05/2012;9.026.637.645.107.790
364;475;21;23.705.263.157.894.700;107.0;23/05/2025;26/12/2015;5.044.370.090.194.930
365;749;40;27.957.276.368.491.300;18.0;21/08/2025;25/08/2011;53.5
366;1423;79;3.262.825.017.568.510;13.0;25/08/2025;19/10/2009;897.210.226.291.242
367;365;40;4.446.575.342.465.750;13.0;25/08/2025;19/10/2009;23.013.473.829.676.900
368;62;10;2.161.290.322.580.640;200.0;20/02/2025;29/11/2018;9.947.252.747.252.740
369;7015;324;6.977.191.732.002.850;3.0;05/09/2025;18/03/2009;4.256.816.292.601.820
370;5000;116;28.618;10.0;29/08/2025;29/09/2011;35.896.931.549.960.600
371;5394;121;2.627.549.128.661.470;10.0;29/08/2025;26/04/2012;4.040.242.150.625.890
372;0;0;0.0;;;;0.0
373;3388;77;30.982.880.755.608.000;7.0;01/09/2025;25/08/2011;24.148.017.965.241.100
374;1981;89;28.647.147.905.098.400;39.0;31/07/2025;25/08/2011;14.208.390.646.492.400
375;1542;58;30.440.985.732.814.500;33.0;05/08/2025;15/07/2011;10.958.528.037.383.100
376;1444;43;1.940.443.213.296.390;39.0;31/07/2025;12/11/2010;9.805.767.441.860.460
377;5795;151;4.118.377.911.993.090;7.0;01/09/2025;12/11/2010;39.119.197.336.785.600
378;7213;185;4.446.693.470.123.380;7.0;01/09/2025;12/11/2010;486.914.185.315.332
379;7250;182;4.444.551.724.137.930;7.0;01/09/2025;10/06/2011;5.091.879.930.729.260
380;6741;207;435.009.642.486.278;10.0;29/08/2025;09/06/2010;44.252.967.625.899.200
381;8398;255;4.821.981.424.148.600;9.0;29/08/2025;09/06/2010;5.513.075.539.568.340
382;0;0;0.0;;;;0.0
383;7381;186;4.884.026.554.667.380;10.0;29/08/2025;20/10/2012;5.736.935.689.948.890
384;8534;222;4.574.994.141.082.720;10.0;29/08/2025;24/04/2010;5.555.395.041.911.890
385;7753;206;4.432.735.715.207.010;10.0;29/08/2025;14/11/2009;49.069.620.253.164.500
386;7168;208;4.803.571.428.571.420;10.0;29/08/2025;24/04/2010;4.666.167.290.886.390
387;7079;196;44.189.857.324.480.800;10.0;29/08/2025;24/04/2010;4.608.230.782.949.880
388;6165;156;38.356.853.203.568.500;10.0;29/08/2025;18/05/2012;46.386.827.458.256.000
389;2292;82;26.234.729.493.891.700;44.0;25/07/2025;18/05/2012;17.367.241.021.382.600
390;1564;43;18.414.322.250.639.300;28.0;11/08/2025;05/05/2012;11.780.024.762.690.800
391;790;46;28.784.810.126.582.200;28.0;11/08/2025;05/05/2012;59.502.682.624.845.200
392;808;56;3.767.326.732.673.260;28.0;11/08/2025;25/08/2011;5.782.745.098.039.210
393;518;46;3.886.100.386.100.380;104.0;27/05/2025;25/08/2011;37.633.359.872.611.400
394;1751;148;4.790.976.584.808.680;2.0;05/09/2025;19/10/2009;11.019.224.137.931.000
395;860;77;452.093.023.255.814;13.0;25/08/2025;19/10/2009;5.422.352.737.951.280
396;7124;362;7.250.140.370.578.320;3.0;05/09/2025;18/03/2009;4.322.959.268.495.420
397;7601;367;6.975.134.850.677.540;3.0;05/09/2025;18/03/2009;46.124.106.400.665.000
398;539;21;26.178.107.606.679.000;13.0;25/08/2025;29/09/2011;3.872.736.220.472.440
399;3435;104;34.075.691.411.935.900;10.0;29/08/2025;26/04/2012;2.572.901.703.262.870
400;1904;39;16.980.042.016.806.700;19.0;19/08/2025;01/05/2011;1.330.321.592.649.310
401;2935;75;3.406.473.594.548.550;7.0;01/09/2025;14/11/2010;19.816.407.695.153.500
402;2676;100;3.846.412.556.053.810;39.0;31/07/2025;25/08/2011;19.193.161.721.359.700
403;0;0;0.0;;;;0.0
404;6402;156;4.148.703.530.146.820;7.0;01/09/2025;25/08/2011;45.630.345.635.618.000
405;6066;157;4.247.774.480.712.160;7.0;01/09/2025;25/08/2011;4.323.550.087.873.460
406;3236;110;41.087.762.669.962.900;21.0;18/08/2025;22/08/2011;23.114.285.714.285.700
407;7152;164;4.203.579.418.344.510;10.0;29/08/2025;22/08/2011;5.096.602.889.496.290
408;8130;207;433.849.938.499.385;6.0;01/09/2025;08/08/2010;5.392.422.315.100.850
409;11331;292;4.358.662.077.486.540;9.0;29/08/2025;09/06/2010;7.438.516.187.050.350
410;9289;279;5.055.118.957.907.200;3.0;05/09/2025;09/06/2010;6.090.326.926.531.340
411;7276;224;4.709.180.868.609.120;10.0;29/08/2025;14/06/2008;422.552.108.194.113
412;7835;238;4.476.196.553.924.690;10.0;29/08/2025;09/06/2010;5.143.480.215.827.330
413;4180;130;4.500.956.937.799.040;28.0;11/08/2025;11/04/2010;2.723.491.610.139.230
414;1898;90;38.277.133.825.079.000;48.0;22/07/2025;11/05/2012;14.372.821.576.763.400
415;2631;124;4.966.172.557.962.750;13.0;25/08/2025;14/07/2011;18.625.193.948.797.500
416;6616;193;45.155.683.192.261.100;9.0;29/08/2025;18/05/2012;4.976.999.175.597.690
417;5292;141;4.008.503.401.360.540;10.0;29/08/2025;08/11/2011;38.302.201.070.791.100
418;1216;44;2.241.776.315.789.470;107.0;23/05/2025;08/11/2011;8.975.530.839.231.540
419;973;37;23.556.012.332.990.700;106.0;25/05/2025;09/06/2012;7.503.591.802.239.590
420;662;46;35.498.489.425.981.800;48.0;21/07/2025;25/08/2011;4.756.496.062.992.120
421;648;51;383.179.012.345.679;48.0;21/07/2025;25/08/2011;46.559.055.118.110.200
422;7491;364;7.038.713.122.413.560;3.0;05/09/2025;18/03/2009;4.545.660.847.880.290
423;957;78;4.620.689.655.172.410;104.0;27/05/2025;19/10/2009;6.129.233.198.806.800
424;929;75;4.590.958.019.375.670;104.0;27/05/2025;19/10/2009;59.499.034.918.406.700
425;1253;95;4.292.897.047.086.990;19.0;19/08/2025;19/10/2009;7.908.438.526.716.230
426;5644;140;41.307.583.274.273.500;7.0;01/09/2025;25/08/2011;4.022.768.990.431.550
427;6699;169;4.295.566.502.463.050;7.0;01/09/2025;14/11/2010;4.523.002.219.755.820
