id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
128;1380;86;32.992.753.623.188.400;0.0;12/09/2025;10/08/2010;9.136.586.250.680.200
129;855;52;2.295.906.432.748.530;31.0;12/08/2025;15/05/2010;560.479.525.862.069
130;854;53;2.300.936.768.149.880;14.0;29/08/2025;21/12/2010;5.808.982.482.295.930
131;1653;160;4.695.099.818.511.790;4.0;08/09/2025;21/12/2010;11.225.023.255.813.900
132;1437;157;5.218.510.786.360.470;4.0;08/09/2025;02/04/2011;994.699.412.099.374
133;1874;165;4.838.847.385.272.140;4.0;08/09/2025;09/12/2010;126.974.197.141.266
134;574;49;440.418.118.466.899;0.0;12/09/2025;24/01/2010;36.685.344.072.841.800
135;1903;84;2.913.294.797.687.860;0.0;12/09/2025;24/01/2010;12.162.405.883.382.900
136;2336;70;2.791.095.890.410.950;0.0;12/09/2025;24/01/2010;14.929.784.626.160.000
137;1832;86;28.820.960.698.689.900;0.0;12/09/2025;24/01/2010;11.708.632.463.666.600
138;934;71;4.002.141.327.623.120;3.0;09/09/2025;24/01/2010;59.724.947.442.186.400
139;432;36;2.837.962.962.962.960;31.0;12/08/2025;10/08/2010;2.876.322.510.032.830
140;849;44;2.507.656.065.959.950;14.0;29/08/2025;08/03/2011;5.860.155.068.078.660
141;467;41;37.580.299.785.867.200;14.0;29/08/2025;24/12/2010;31.783.516.688.420.600
142;482;31;2.570.539.419.087.130;38.0;05/08/2025;26/12/2013;4.148.314.076.868.660
143;420;38;2.454.761.904.761.900;19.0;24/08/2025;24/12/2010;28.611.422.172.452.400
144;575;65;4.396.521.739.130.430;0.0;12/09/2025;24/01/2010;367.492.558.220.977
145;851;79;34.794.359.576.968.200;11.0;01/09/2025;25/08/2010;5.660.925.824.676.500
146;741;66;35.384.615.384.615.300;11.0;01/09/2025;11/07/2010;4.889.983.728.078.100
147;464;62;4.489.224.137.931.030;19.0;24/08/2025;11/04/2010;3.016.206.589.492.430
148;442;57;36.470.588.235.294.100;31.0;12/08/2025;11/04/2010;2.879.350.348.027.840
149;802;61;26.359.102.244.389.000;31.0;12/08/2025;11/04/2010;5.224.522.577.190.790
150;554;28;32.851.985.559.566.700;181.0;15/03/2025;26/12/2013;493.435.822.352.367
151;600;38;2.255;104.0;31/05/2025;18/03/2011;4.221.279.876.638.390
152;1903;57;14.440.357.330.530.700;51.0;23/07/2025;18/03/2011;13.253.100.553.329.500
153;464;53;3.976.293.103.448.270;6.0;06/09/2025;31/03/2014;4.053.614.169.459.070
154;787;79;3.710.292.249.047.010;6.0;06/09/2025;20/12/2010;5.344.279.069.767.440
155;1204;79;30.357.142.857.142.800;37.0;06/08/2025;26/08/2011;8.627.012.171.181.780
156;973;72;3.263.103.802.672.140;60.0;14/07/2025;17/02/2011;6.750.522.714.312.860
157;887;70;2.746.335.963.923.330;21.0;22/08/2025;23/05/2013;7.234.748.603.351.950
158;1430;42;16.699.300.699.300.600;59.0;15/07/2025;23/04/2011;10.041.362.062.331.600
159;3577;59;14.584.847.637.685.200;59.0;15/07/2025;17/10/2013;3.043.368.298.368.290
160;3573;68;14.058.214.385.670.300;25.0;18/08/2025;14/01/2016;37.218.750.000.000.000
161;602;56;37.890.365.448.504.900;11.0;01/09/2025;27/08/2014;5.461.844.394.730.300
162;1076;71;2.545.539.033.457.240;23.0;20/08/2025;20/12/2010;7.329.973.870.847.330
163;325;48;3.793.846.153.846.150;23.0;20/08/2025;01/10/2015;3.284.191.583.610.180
164;1169;54;20.684.345.594.525.200;2.0;10/09/2025;23/04/2011;8.121.145.793.681.000
165;2001;64;17.646.176.911.544.200;2.0;10/09/2025;02/09/2012;1.535.670.731.707.310
166;1453;70;17.983.482.450.103.200;16.0;27/08/2025;04/03/2011;10.025.425.330.812.800
167;846;41;16.099.290.780.141.800;0.0;12/09/2025;02/11/2015;8.572.737.368.128.810
168;274;35;4.916.058.394.160.580;11.0;01/09/2025;07/02/2015;25.909.326.424.870.400
169;705;66;36.652.482.269.503.500;11.0;01/09/2025;20/12/2010;4.792.791.953.808.900
170;69;17;4.057.971.014.492.750;23.0;20/08/2025;13/01/2016;7.179.304.446.978.330
171;149;10;2.966.442.953.020.130;17.0;26/08/2025;26/11/2018;2.206.288.032.454.360
172;933;60;3.297.963.558.413.710;17.0;26/08/2025;01/03/2011;6.435.090.702.947.840
173;1252;69;19.912.140.575.079.800;17.0;26/08/2025;24/05/2014;11.113.326.848.249.000
174;562;36;20.106.761.565.836.200;10.0;02/09/2025;22/02/2011;3.865.272.281.891.840
175;411;47;4.043.795.620.437.950;11.0;01/09/2025;01/10/2014;37.616.599.799.398.100
176;539;47;29.165.120.593.692.000;17.0;26/08/2025;12/12/2015;5.549.647.390.691.110
177;446;32;2.975.336.322.869.950;17.0;26/08/2025;31/03/2016;4.739.155.749.636.090
178;465;37;30.258.064.516.129.000;17.0;26/08/2025;02/04/2016;4.943.926.594.815.030
179;1093;67;23.293.687.099.725.500;10.0;02/09/2025;19/10/2010;7.342.996.502.852.930
180;761;39;17.844.940.867.279.800;10.0;02/09/2025;04/01/2011;5.187.021.475.256.760
181;231;27;49.437.229.437.229.400;11.0;01/09/2025;07/02/2015;21.843.264.248.704.600
182;800;73;3.49;11.0;01/09/2025;18/11/2011;5.798.252.581.413.820
183;692;44;2.770.231.213.872.830;17.0;26/08/2025;30/03/2016;7.350.989.522.700.810
184;325;28;3.563.076.923.076.920;17.0;26/08/2025;17/03/2014;28.372.398.947.620.100
185;457;47;35.667.396.061.269.100;10.0;02/09/2025;19/10/2010;30.702.190.318.424.400
186;438;20;1.317.351.598.173.510;78.0;26/06/2025;19/10/2010;2.979.869.524.697.110
187;335;41;47.343.283.582.089.500;11.0;01/09/2025;10/06/2014;29.808.629.936.616.200
188;870;65;38.988.505.747.126.400;11.0;01/09/2025;02/09/2012;6.689.488.097.745.940
189;507;51;31.538.461.538.461.500;17.0;26/08/2025;26/07/2016;5.575.625.188.309.730
190;536;50;3.389.925.373.134.320;17.0;26/08/2025;01/02/2010;3.440.731.621.526.550
191;241;35;34.190.871.369.294.600;141.0;24/04/2025;25/08/2010;16.423.637.042.569.000
192;654;63;4.293.577.981.651.370;11.0;01/09/2025;03/06/2012;4.934.063.662.670.520
193;480;56;37.395.833.333.333.300;56.0;18/07/2025;12/12/2012;3.807.867.854.814.170
194;459;53;3.610.021.786.492.370;2.0;10/09/2025;08/09/2010;30.566.502.463.054.100
195;424;55;4.188.679.245.283.010;2.0;10/09/2025;25/08/2010;2.816.378.525.932.660
196;866;69;33.602.771.362.586.600;11.0;01/09/2025;02/10/2011;6.217.348.544.453.180
197;428;53;3.817.757.009.345.790;52.0;22/07/2025;20/04/2012;3.226.352.746.798.840
198;1843;51;1.602.821.486.706.450;45.0;29/07/2025;17/10/2012;14.410.775.492.716.300
199;1082;58;22.033.271.719.038.800;21.0;22/08/2025;01/02/2010;6.950.545.582.541.350
200;275;38;52.327.272.727.272.700;11.0;01/09/2025;12/09/2012;21.189.571.458.729.100
201;586;71;39.658.703.071.672.300;11.0;01/09/2025;20/04/2012;4.380.298.996.518.530
202;499;60;3.364.729.458.917.830;115.0;20/05/2025;28/03/2010;32.917.946.864.268.900
203;1012;45;1.774.703.557.312.250;115.0;20/05/2025;28/03/2010;667.715.112.075.199
204;513;58;3.754.385.964.912.280;21.0;22/08/2025;24/08/2010;3.418.751.141.135.650
205;357;43;4.700.280.112.044.810;11.0;01/09/2025;23/12/2014;3.336.021.505.376.340
206;592;59;4.048.986.486.486.480;11.0;01/09/2025;13/04/2011;4.111.893.434.823.970
207;107;24;3.794.392.523.364.480;149.0;16/04/2025;13/04/2011;7.632.401.797.928.470
208;250;35;3.856;134.0;01/05/2025;26/12/2013;2.201.447.527.141.130
209;640;71;43.015.625;27.0;16/08/2025;17/10/2012;4.985.061.886.470.330
210;423;53;4.453.900.709.219.850;11.0;01/09/2025;12/09/2012;3.258.653.440.270.150
211;644;61;28.447.204.968.944.000;136.0;29/04/2025;13/11/2011;4.780.557.250.355.900
212;654;50;27.262.996.941.896.000;130.0;05/05/2025;11/11/2011;4.846.903.553.299.490
213;281;49;54.163.701.067.615.600;93.0;11/06/2025;14/01/2016;29.850.116.414.435.300
214;256;28;478.515.625;11.0;01/09/2025;07/02/2015;2.420.725.388.601.030
215;1094;79;276.691.042.047.532;11.0;01/09/2025;13/11/2011;7.921.245.784.566.550
216;358;39;29.720.670.391.061.400;203.0;21/02/2025;24/08/2010;24.673.338.368.580.000
217;54;12;3.462.962.962.962.960;93.0;11/06/2025;22/04/2011;3.816.808.675.445.390
218;370;44;38.216.216.216.216.200;11.0;01/09/2025;05/09/2013;30.840.374.514.729.300
219;752;47;3.103.723.404.255.310;11.0;01/09/2025;09/01/2014;6.453.797.319.539.140
220;112;20;4.410.714.285.714.280;93.0;11/06/2025;10/03/2015;10.910.061.382.439.200
221;395;32;36.050.632.911.392.400;11.0;01/09/2025;27/10/2012;30.727.834.612.105.700
222;516;53;39.670.542.635.658.900;11.0;01/09/2025;06/12/2011;3.753.288.162.614.580
223;288;35;4.513.888.888.888.880;11.0;01/09/2025;07/02/2015;27.233.160.621.761.600
224;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
225;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
226;318;29;4.663.522.012.578.610;11.0;01/09/2025;07/02/2015;300.699.481.865.285
227;326;29;4.690.184.049.079.750;11.0;01/09/2025;07/02/2015;30.826.424.870.466.300
228;82;12;6.621.951.219.512.190;11.0;01/09/2025;11/03/2015;7.820.747.321.661.870
